Sp	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
Pelophylax_lesso	0	0	1	0	0	0	0	0	0	0
Pelophylax_perez	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Pelophylax_sahar	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Pelophylax_nigro	0	0	1	0	0	0	0	0	0	0
Rana_arvalis	1	0	0	0	0	0	0	0	0	0
Rana_temporaria	1	0	0	0	0	0	0	0	0	0
Rana_iberica	0	0	1	0	0	0	0	0	0	0
Rana_italica	1	0	0	0	0	0	0	0	0	0
Rana_dalmatina	0	0	0	0	1	0	0	0	0	0
Rana_macrocnemis	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rana_latastei	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rana_chensinensi	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rana_kukunoris	0	0	0	0	1	0	0	0	0	0
Rana_ornativentr	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rana_dybowskii	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rana_japonica	0.5	0	0.5	0	0	0	0	0	0	0
Rana_berlandieri	1	0	0	0	0	0	0	0	0	0
Rana_blairi	0	1	0	0	0	0	0	0	0	0
Rana_yavapaiensi	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rana_sphenocepha	1	0	0	0	0	0	0	0	0	0
Rana_chiricahuen	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rana_montezumae	1	0	0	0	0	0	0	0	0	0
Rana_pipiens	0	0.5	0	0	0.5	0	0	0	0	0
Rana_tarahumarae	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rana_catesbeiana	0	0	0	0	1	0	0	0	0	0
Rana_clamitans	1	0	0	0	0	0	0	0	0	0
Rugosa_rugosa	0	0	0	0	0	0	0	1	0	0
